"sample_id","site","dna_type","depth","depths_cm_re","total_reads","archaeal_reads","arcpercent"
"ePA1_lib1","AZ","eDNA",2.5,"0-5",114299,2501,2.18812063097665
"ePA2_lib1","AZ","eDNA",7.5,"5-10",58904,1065,1.80802661958441
"ePA3_lib1","AZ","eDNA",15,"10-20",66757,2250,3.37043306319936
"ePA4_lib1","AZ","eDNA",30,"20-40",52664,767,1.4564028558408
"ePA5_lib1","AZ","eDNA",50,"40-60",74871,944,1.26083530338849
"ePB1_lib1","AZ","eDNA",2.5,"0-5",71648,464,0.64761054041983
"ePB2_lib1","AZ","eDNA",7.5,"5-10",39425,400,1.0145846544071
"ePB3_lib1","AZ","eDNA",15,"10-20",89903,2460,2.73628243773845
"ePB5_lib1","AZ","eDNA",50,"40-60",101753,5878,5.77673385551286
"ePC1_lib1","AZ","eDNA",2.5,"0-5",76841,944,1.22851082104606
"eSA3_lib1","SG","eDNA",15,"10-20",63643,2520,3.95958707163396
"eSA4_lib1","SG","eDNA",30,"20-40",139372,7383,5.29733375426915
"eSA5_lib1","SG","eDNA",50,"40-60",117619,4323,3.67542658924153
"eSB1_lib1","SG","eDNA",2.5,"0-5",60643,1792,2.95499892815329
"eSB2_lib1","SG","eDNA",7.5,"5-10",26120,1201,4.59800918836141
"eSB3_lib1","SG","eDNA",15,"10-20",86800,4199,4.83755760368664
"eSB4_lib1","SG","eDNA",30,"20-40",81547,3593,4.40604804591217
"eSB5_lib1","SG","eDNA",50,"40-60",184090,2762,1.5003530881634
"eSC1_lib1","SG","eDNA",2.5,"0-5",205195,7799,3.80077487268208
"eSC3_lib1","SG","eDNA",15,"10-20",64484,2883,4.47087649649525
"eLA2_lib1","LC","eDNA",7.5,"5-10",123856,627,0.50623304482625
"eLA3_lib1","LC","eDNA",15,"10-20",185039,1822,0.984657288463513
"eLA4_lib1","LC","eDNA",30,"20-40",102318,1194,1.16695009675717
"eLA5_lib1","LC","eDNA",50,"40-60",78405,5299,6.75849754479944
"eLB1_lib1","LC","eDNA",2.5,"0-5",124328,1674,1.34643845312399
"eLB2_lib1","LC","eDNA",7.5,"5-10",275947,5537,2.0065447350397
"eLB3_lib1","LC","eDNA",15,"10-20",80906,2548,3.14933379477418
"eLB4_lib1","LC","eDNA",30,"20-40",234830,10412,4.43384576076311
"eLB5_lib1","LC","eDNA",50,"40-60",112140,4776,4.258962011771
"eLC1_lib2","LC","eDNA",2.5,"0-5",89497,1550,1.73190162798753
