"ASV","in_current_60cm_table","total_reads_60cm","abundance_rank_60cm","read_share_60cm","Kingdom","Phylum","Class","Order","Family","Genus","reference_tip","distance","specialist_group.iDNA","indval.iDNA","pvalue.iDNA","freq.iDNA","specialist_group.eDNA","indval.eDNA","pvalue.eDNA","freq.eDNA","module_color.iDNA","module_number.iDNA","module_color.eDNA","module_number.eDNA"
"ASV_421",TRUE,763,1,0.0397602918186555,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc04bir",0.01099,NA,NA,NA,NA,"AZ",0.8166995412857,0.005,12,"magenta",5,"turquoise",NA
"ASV_383",TRUE,741,2,0.0386138613861386,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc03pua",0.01077,"AZ",0.864146737272894,0.001,10,"AZ",0.942561272875188,0.001,16,"magenta",5,"turquoise",NA
"ASV_687",TRUE,736,3,0.038353309015112,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrocosmicus","Unc0ehf9",0.0194,NA,NA,NA,NA,NA,NA,NA,NA,"grey",10,"red",NA
"ASV_348",TRUE,561,5,0.0292339760291819,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrososphaera","UncCr933",0.01096,NA,NA,NA,NA,NA,NA,NA,NA,"green",4,"turquoise",NA
"ASV_478",TRUE,444,6,0.02313705054716,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc09tat",0.02104,NA,NA,NA,NA,NA,NA,NA,NA,"green",4,"turquoise",NA
"ASV_767",TRUE,419,7,0.0218342886920271,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","UniArc37",0.03482,NA,NA,NA,NA,NA,NA,NA,NA,"yellow",9,"black",NA
"ASV_42",TRUE,410,8,0.0213652944241793,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc05ftw",0.04481,NA,NA,NA,NA,"NB",0.992883953338827,0.001,10,"blue",2,"blue",NA
"ASV_97",TRUE,393,9,0.0204794163626889,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__NA","f__NA","g__NA","UncTha82",0.01769,NA,NA,NA,NA,"NB",0.996981111232077,0.001,9,"turquoise",8,"yellow",NA
"ASV_739",TRUE,326,10,0.0169880145909328,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","UncCr947",0.01096,NA,NA,NA,NA,NA,NA,NA,NA,"pink",6,"turquoise",NA
"ASV_2026",TRUE,323,11,0.0168316831683168,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc04bir",0.00879,"AZ",0.985255668898389,0.001,9,"AZ",0.994172917194523,0.001,9,"magenta",5,"turquoise",NA
"ASV_1344",TRUE,266,13,0.0138613861386139,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__NA","Unc03qhr",0.00689,"LC",0.918892623248149,0.001,9,NA,NA,NA,NA,"yellow",9,"red",NA
