asv_id	Kingdom	Phylum	Class	Order	Family	Genus
ASV_42	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_97	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__NA	f__NA	g__NA
ASV_108	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_151	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_259	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_273	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__NA	f__NA	g__NA
ASV_348	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus_Nitrososphaera
ASV_375	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_383	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_418	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_421	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_435	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_469	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__NA	f__NA	g__NA
ASV_478	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_484	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_486	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__NA	f__NA	g__NA
ASV_614	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__NA	f__NA	g__NA
ASV_649	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Geoarchaeales	f__NA	g__NA
