"ePA1_lib1"	"ePA2_lib1"	"ePA3_lib1"	"ePA4_lib1"	"ePA5_lib1"	"ePB1_lib1"	"ePB2_lib1"	"ePB3_lib1"	"ePB5_lib1"	"ePC1_lib1"	"eSA3_lib1"	"eSA4_lib1"	"eSA5_lib1"	"eSB1_lib1"	"eSB2_lib1"	"eSB3_lib1"	"eSB4_lib1"	"eSB5_lib1"	"eSC1_lib1"	"eSC3_lib1"	"eLA2_lib1"	"eLA3_lib1"	"eLA4_lib1"	"eLA5_lib1"	"eLB1_lib1"	"eLB2_lib1"	"eLB3_lib1"	"eLB4_lib1"	"eLB5_lib1"	"eLC1_lib2"	"eLC2_lib2"	"eLC3_lib2"	"eLC4_lib2"	"eLC5_lib2"	"eNA3_lib2"	"eNA4_lib2"	"eNA5_lib2"	"eNB1_lib2"	"eNB2_lib2"	"eNB3_lib2"	"eNB4_lib2"	"eNB5_lib2"	"eNAC1_lib2"	"eNAC3_lib2"	"eNAC4_lib2"	"eNAC5_lib2"	"iPA2_lib2"	"iPA3_lib2"	"iPA4_lib2"	"iPA5_lib2"	"iPB2_lib2"	"iPB3_lib2"	"iPB4_lib2"	"iPB5_lib2"	"iPC1_lib2"	"iSA1_lib2"	"iSA2_lib2"	"iSA3_lib2"	"iSA4_lib2"	"iSA5_lib2"	"SB1_lib3"	"SB2_lib3"	"SB3_lib3"	"SB4_lib3"	"SC1_lib3"	"SC2_lib3"	"SC3_lib3"	"SC4_lib3"	"SC5_lib3"	"LA1_lib3"	"LA3_lib3"	"LA4_lib3"	"LA5_lib3"	"LB1_lib3"	"LB2_lib3"	"LB3_lib3"	"LB4_lib3"	"LB5_lib3"	"LC1_lib3"	"LC3_lib3"	"LC4_lib3"	"NA1_lib3"	"NA2_lib3"	"NA3_lib3"	"NA4_lib3"	"NA5_lib3"	"NB2_lib3"	"NB3_lib3"	"NB4_lib3"	"NB5_lib3"	"NAC1_lib3"	"NAC2_lib3"	"NAC3_lib3"	"NAC4_lib3"	"NAC5_lib3"
"ASV_42"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	30	33	66	1	1	11	10	9	1	7	21	35	4	0	0	3	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	34	39	3	6	15	2	0	0	4	5	45
"ASV_97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	16	25	43	29	26	17	0	0	4	27	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	55	41	23	43	0	0	0	3	13
"ASV_108"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	9	67	0	0	3	2	41	0	0	2	54	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	5	16	0	2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_151"	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	0	0	25	109	145	75	0	9	72	23	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	51	69	36	0	29	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_259"	1	0	0	0	2	0	0	0	2	0	0	14	57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	44	23	0	0	0	0	0	0	2	10	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_273"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
"ASV_348"	0	2	14	9	4	0	1	6	2	0	46	12	28	0	0	2	0	0	9	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	9	7	1	7	13	1	6	0	23	59	49	39	25	0	2	3	1	23	26	49	31	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_375"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	21	0	0	3	6	11	0	0	9	44	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_383"	10	47	42	29	36	15	9	44	98	20	9	1	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	34	0	30	21	26	54	43	7	24	16	3	2	0	7	0	0	0	6	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_418"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
