sample_id	Shannon	Simpson	observed_species	Pielous	Chao1	ACE	goods_coverage
ePA1_lib1	6.381452297	0.992304348	2066	0.83599414	3857.676012	3838.197119	0.88627451
ePA2_lib1	6.989221483	0.997243101	2671	0.885809512	5068.45	5172.006278	0.84599894
ePA3_lib1	6.884525308	0.996637367	2519	0.87906815	4401.254902	4699.481424	0.860625331
ePA4_lib1	6.605903816	0.99467925	2194	0.858636457	3641.638404	3819.146846	0.885744568
ePA5_lib1	6.970548652	0.994898529	2774	0.879226609	5313.548596	5501.450291	0.837413884
ePA7_lib1	6.357502641	0.994364577	1893	0.842508826	3373.670807	3595.508275	0.896449391
ePA8_lib1	6.048674551	0.992837019	1634	0.81752254	3029.255814	3110.503858	0.910015898
ePA9_lib1	4.915330598	0.978938538	540	0.781256709	779.775	648.1226993	0.985267621
ePA10_lib1	5.735567223	0.992966699	932	0.838860324	1295.657343	1297.23625	0.965765766
ePA11_lib1	5.575560202	0.991354957	860	0.825161461	1119.022727	1098.491204	0.972231055
ePA12_lib1	5.867183314	0.993301031	1011	0.848018756	1385.179688	1286.932795	0.967143614
ePB1_lib1	6.704714116	0.9962397	2236	0.869337172	3732.444181	4055.896323	0.880975093
ePB2_lib1	6.604516263	0.994845349	2276	0.854381232	4089.13577	4095.228889	0.875039746
ePB3_lib1	6.886051343	0.996062839	2644	0.873859038	4714.847599	4950.504927	0.850662427
ePB5_lib1	6.577781951	0.996368301	1976	0.866771565	3450.611801	3531.474589	0.896661367
ePB6_lib1	6.226252847	0.994019595	1735	0.834756796	2888.769231	3083.666429	0.910015898
ePB7_lib1	5.990086961	0.993874076	1323	0.83338518	2153.419512	2160.447414	0.938102809
ePB8_lib1	6.338729141	0.995622597	1678	0.853659748	2931.375	2988.826523	0.91372549
ePB9_lib1	6.242656516	0.995062179	1419	0.860141631	1839.667939	1877.373799	0.95018548
ePB10_lib1	6.124989711	0.994390616	1307	0.853598842	1630.066148	1669.444311	0.956756757
ePB11_lib1	5.781619163	0.991724922	1022	0.834346659	1364.550336	1326.504572	0.966083731
ePB12_lib1	6.022847011	0.992351484	1553	0.81966427	2739.757813	2904.323015	0.917329094
ePC1_lib1	5.88435929	0.987308775	1273	0.823087281	1906.888889	1836.799807	0.948065713
ePC9_lib1	3.339535226	0.933948099	132	0.683938296	387	277.273296	0.994594595
ePC10_lib1	3.24714847	0.922798733	115	0.684340341	588	272.3268493	0.995336513
eSA3_lib1	7.329156284	0.998207207	3074	0.912638302	5454.20434	5668.793001	0.827980922
eSA4_lib1	7.390483809	0.998391662	3199	0.915729899	5821.035775	6250.92686	0.813990461
eSA5_lib1	6.985327596	0.997401179	2651	0.886160136	5038.534368	5365.749283	0.844409115
eSA6_lib1	6.969076826	0.997574513	2560	0.888033601	4520.117521	4892.8982	0.856385798
eSA7_lib1	6.8453555	0.997220791	2328	0.882956683	4018.162562	4181.04688	0.875781664
eSA8_lib1	6.595972322	0.995693391	2167	0.85872768	3835.056	4012.628027	0.881399046
eSA9_lib1	6.65845825	0.996457675	2154	0.867542311	3817.927374	3925.359652	0.884260731
eSA10_lib1	6.434894083	0.988813012	2173	0.837455491	3957.022099	4068.692057	0.879491256
eSA11_lib1	6.04097853	0.983528333	1917	0.799228041	3539.082278	3682.449005	0.89263381
eSA12_lib1	5.45035505	0.972167012	1546	0.742208729	3112.888412	3192.940426	0.909379968
eSB1_lib1	7.115088738	0.99680915	2925	0.891497855	5534.84	5666.330625	0.82872284
eSB2_lib1	7.103587188	0.99683146	3009	0.886910372	5930.793834	6437.345744	0.815368309
eSB3_lib1	7.190880532	0.997841826	2967	0.899387712	5588.475191	5952.67114	0.82427133
eSB4_lib1	6.870858421	0.996725146	2421	0.881790926	4311.002387	4571.819095	0.866560678
eSB5_lib1	6.037321503	0.98272098	1907	0.799297288	3397.300633	3457.296023	0.897085321
