"sample_id"	"site"	"dna_type"	"depth"	"site_num"	"dna_typen"	"site_dna"	"site_dna_depth"	"site_pit"	"pit"	"layer_order"	"layer_label"	"depth_order"	"minus_depthnumber"	"depth_minus"	"depth_label"	"depths_cm"	"depths_cm_re"	"latitude"	"longitude"	"altitude"	"MAT"	"MAP"	"pH"	"Conductivity"	"moisture"	"N"	"N15"	"C"	"C13"	"CN"	"Feo"	"Fed"	"FeoFed"	"Fep"	"Alo"	"Alp"	"Sio"	"genecopy_r1"	"genecopy_r2"	"genecopy_r3"	"genecopy_mean"	"NH4"	"NO3"	"Pt"	"Pi"	"Po"	"Mnd"	"Mno"	"Mnp"
"ePA1_lib1"	"AZ"	"eDNA"	2.5	1	1	"AZ_eDNA"	"AZeDNA0_5cm"	"AZ1"	1	1	"0_40cm"	1	-1	-2.5	"0_5cm"	"0_5"	"12_0_5"	26.30285	70.457333	732	18.1	10	8.48	47.35	1.060721	0.018847838	8.642961093	0.119290451	-32.2030135	6.329131927	0.030955219	0.232705198	0.133023326	0.018346623	0.05500501	0.01846	0.034285573	1.03e+08	1.02e+08	97300000	100911835.2	13.66443	13.257323	831	56.69341216	774.3065878	0.009419	0.000691	1.7e-05
"ePA2_lib1"	"AZ"	"eDNA"	7.5	1	1	"AZ_eDNA"	"AZeDNA5_10cm"	"AZ1"	1	1	"0_40cm"	2	-2	-7.5	"5_10cm"	"5_10"	"11_5_10"	26.30285	70.457333	732	18.1	10	8.115	57.1	1.133078	0.011167357	10.31536619	0.105302733	-23.7180598	9.42951215	0.073650993	0.490794711	0.150064766	0.005418839	0.06555466	0.002977	0.068395004	8300000	8520000	8470000	8431221.546	7.24111	19.048216	967.2	48.77533784	918.4246622	0.010022	0.000683	-5.1e-05
"ePA3_lib1"	"AZ"	"eDNA"	15	1	1	"AZ_eDNA"	"AZeDNA10_20cm"	"AZ1"	1	1	"0_40cm"	3	-3	-15	"10_20cm"	"10_20"	"10_10_20"	26.30285	70.457333	732	18.1	10	8.235	55.3	1.905904	0.0030139	5.764553951	0.038006941	-29.02312507	12.61055059	0.308488384	0.626899711	0.492085701	0.057175516	0.040683068	0.01486	0.048948867	4210000	4410000	4440000	4351357.079	11.346158	57.579257	883.4	73.05743243	810.3425676	0.008051	0.000637	5.1e-05
"ePA4_lib1"	"AZ"	"eDNA"	30	1	1	"AZ_eDNA"	"AZeDNA20_40cm"	"AZ1"	1	1	"0_40cm"	4	-4	-30	"20_40cm"	"20_40"	"09_20_40"	26.30285	70.457333	732	18.1	10	8.645	50.8	0.635045	0.003335522	6.711757548	0.045867332	-28.02070151	13.75117053	0.350354137	0.632034496	0.554327555	0.095603156	0.003075801	0.01646	0.006986312	305000	322000	314000	313319.6427	5.603318	10.753289	749.9	17.10304054	732.7969595	0.006602	0.000612	-1.7e-05
"ePA5_lib1"	"AZ"	"eDNA"	50	1	1	"AZ_eDNA"	"AZeDNA40_60cm"	"AZ1"	1	2	"40_120cm"	5	-5	-50	"40_60cm"	"40_60"	"08_40_60"	26.30285	70.457333	732	18.1	10	8.815	47.45	1.100362	0.003239959	5.26822751	0.037250471	-31.85582238	11.49720374	0.101740722	0.399909457	0.254409392	0.033644848	0.020751564	0	0.027740993	412000	452000	412000	425526.4839	4.019311	13.279853	553.5	10.76858108	542.7314189	0.005662	0.000674	-1.7e-05
"ePA7_lib1"	"AZ"	"eDNA"	90	1	1	"AZ_eDNA"	"AZeDNA80_100cm"	"AZ1"	1	2	"40_120cm"	7	-7	-90	"80_100cm"	"80_100"	"06_80_100"	26.30285	70.457333	732	18.1	10	8.775	32.825	0.814209	0.005338258	3.692029182	0.062338069	-30.35063601	11.67760419	0.023219027	0.511133444	0.045426547	0.004614903	0.022173581	0	0.021465285	263000	244000	259000	255213.6364	2.804816	9.115278	548.3	0	548.3	0.0047785	0.0006215	1.65e-05
"ePA8_lib1"	"AZ"	"eDNA"	110	1	1	"AZ_eDNA"	"AZeDNA100_120cm"	"AZ1"	1	2	"40_120cm"	8	-8	-110	"100_120cm"	"100_120"	"05_100_120"	26.30285	70.457333	732	18.1	10	9.05	29.35	0.799358	0.004366703	5.26740918	0.058577704	-31.10828868	13.41463086	0.087199779	0.571756849	0.152511996	0.037146723	0.022335515	0	0.006619254	165000	174000	159000	165749.5267	2.403854	8.286486	647.8	6.545608108	641.2543919	0.004546	0.00063	-1.7e-05
"ePA9_lib1"	"AZ"	"eDNA"	130	1	1	"AZ_eDNA"	"AZeDNA120_140cm"	"AZ1"	1	3	"120_200cm"	9	-9	-130	"120_140cm"	"120_140"	"04_120_140"	26.30285	70.457333	732	18.1	10	9.065	36.15	0.49748	0.002312954	5.378628114	0.048308742	-31.86416942	20.88616342	0.255065083	0.595985304	0.427972102	0.151089452	0.02122291	0.001645	0.006986312	8890	9270	6820	8325.739875	2.398307	3.330897	452	0	452	0.004311	0.000645	3.3e-05
"ePA10_lib1"	"AZ"	"eDNA"	150	1	1	"AZ_eDNA"	"AZeDNA140_160cm"	"AZ1"	1	3	"120_200cm"	10	-10	-150	"140_160cm"	"140_160"	"03_140_160"	26.30285	70.457333	732	18.1	10	8.96	31.75	1.028328	0.00340048	4.948857328	0.040028025	-30.73273404	11.7712868	0.108203307	0.65045926	0.166349092	0.011534723	0.014767973	0	0.024584508	218000	215000	194000	208844.9678	4.017064	5.82612	817.9	7.07347973	810.8265203	0.0054875	0.0006415	4.15e-05
"ePA11_lib1"	"AZ"	"eDNA"	170	1	1	"AZ_eDNA"	"AZeDNA160_180cm"	"AZ1"	1	3	"120_200cm"	11	-11	-170	"160_180cm"	"160_180"	"02_160_180"	26.30285	70.457333	732	18.1	10	8.655	23.9	0.813117	0.002744169	3.446378401	0.172811881	-17.19290471	62.97420868	0.338807927	0.405711598	0.835095493	0.090306083	0.022335515	0	0.041145944	50600	51600	49100	50441.84685	5.611383	8.281799	134.4	4.961993243	129.4380068	0.006664	0.000638	5e-05
