asv_id	eLA_NC_lib1	eLA1_lib1	eLA10_lib1	eLA11_lib1	eLA12_lib1	eLA13_lib1	eLA14_lib1	eLA15_lib1	eLA16_lib1	eLA17_lib1	eLA18_lib1	eLA19_lib1	eLA2_lib1	eLA20_lib1	eLA3_lib1	eLA4_lib1	eLA5_lib1	eLA6_lib1	eLA7_lib1	eLA8_lib1	eLA9_lib1	eLB_NC_lib1	eLB1_lib1	eLB10_lib1	eLB11_lib1	eLB12_lib1	eLB2_lib1	eLB3_lib1	eLB4_lib1	eLB5_lib1	eLB6_lib1	eLB7_lib1	eLB8_lib1	eLB9_lib1	ePA_NC_lib1	ePA1_lib1	ePA10_lib1	ePA11_lib1	ePA12_lib1	ePA2_lib1	ePA3_lib1	ePA4_lib1	ePA5_lib1	ePA6_lib1	ePA7_lib1	ePA8_lib1	ePA9_lib1	ePB_NC_lib1	ePB1_lib1	ePB10_lib1	ePB11_lib1	ePB12_lib1	ePB2_lib1	ePB3_lib1	ePB4_lib1	ePB5_lib1	ePB6_lib1	ePB7_lib1	ePB8_lib1	ePB9_lib1	ePC_NC_lib1	ePC1_lib1	ePC10_lib1	ePC11_lib1	ePC12_lib1	ePC2_lib1	ePC3_lib1	ePC4_lib1	ePC5_lib1	ePC6_lib1	ePC7_lib1	ePC8_lib1	ePC9_lib1	eSA_NC_lib1	eSA1_lib1	eSA10_lib1	eSA11_lib1	eSA12_lib1	eSA2_lib1	eSA3_lib1	eSA4_lib1	eSA5_lib1	eSA6_lib1	eSA7_lib1	eSA8_lib1	eSA9_lib1	eSB_NC_lib1	eSB1_lib1	eSB10_lib1	eSB11_lib1	eSB12_lib1	eSB2_lib1	eSB3_lib1	eSB4_lib1	eSB5_lib1	eSB6_lib1	eSB7_lib1	eSB8_lib1	eSB9_lib1	eSC_NC_lib1	eSC1_lib1	eSC10_lib1	eSC11_lib1	eSC12_lib1	eSC2_lib1	eSC3_lib1	eSC4_lib1	eSC5_lib1	eSC6_lib1	eSC7_lib1	eSC8_lib1	eSC9_lib1	NTC_lib1	PC_1_lib1	PC_2_lib1	eLC_NC_lib2	eLC1_lib2	eLC10_lib2	eLC11_lib2	eLC12_lib2	eLC2_lib2	eLC3_lib2	eLC4_lib2	eLC5_lib2	eLC6_lib2	eLC7_lib2	eLC8_lib2	eLC9_lib2	eNA_NC_lib2	eNA1_lib2	eNA10_lib2	eNA11_lib2	eNA12_lib2	eNA13_lib2	eNA14_lib2	eNA15_lib2	eNA16_lib2	eNA17_lib2	eNA18_lib2	eNA19_lib2	eNA2_lib2	eNA20_lib2	eNA3_lib2	eNA4_lib2	eNA5_lib2	eNA6_lib2	eNA7_lib2	eNA8_lib2	eNA9_lib2	eNAC1_lib2	eNAC10_lib2	eNAC11_lib2	eNAC12_lib2	eNAC2_lib2	eNAC3_lib2	eNAC4_lib2	eNAC5_lib2	eNAC6_lib2	eNAC7_lib2	eNAC8_lib2	eNAC9_lib2	eNB_NC_lib2	eNB1_lib2	eNB10_lib2	eNB11_lib2	eNB12_lib2	eNB2_lib2	eNB3_lib2	eNB4_lib2	eNB5_lib2	eNB6_lib2	eNB7_lib2	eNB8_lib2	eNB9_lib2	eNC_NC_lib2	iPA_NC_lib2	iPA1_lib2	iPA10_lib2	iPA11_lib2	iPA12_lib2	iPA2_lib2	iPA3_lib2	iPA4_lib2	iPA5_lib2	iPA6_lib2	iPA7_lib2	iPA8_lib2	iPA9_lib2	iPB_NC_lib2	iPB1_lib2	iPB10_lib2	iPB11_lib2	iPB12_lib2	iPB2_lib2	iPB3_lib2	iPB4_lib2	iPB5_lib2	iPB6_lib2	iPB7_lib2	iPB8_lib2	iPB9_lib2	iPC_NC_lib2	iPC1_lib2	iPC10_lib2	iPC11_lib2	iPC12_lib2	iPC2_lib2	iPC3_lib2	iPC4_lib2	iPC5_lib2	iPC6_lib2	iPC7_lib2	iPC8_lib2	iPC9_lib2	iSA_NC_lib2	iSA1_lib2	iSA10_lib2	iSA11_lib2	iSA12_lib2	iSA2_lib2	iSA3_lib2	iSA4_lib2	iSA5_lib2	iSA6_lib2	iSA7_lib2	iSA8_lib2	iSA9_lib2	NTC_lib2	PC_1_lib2	PC_2_lib2	LA1_lib3	LA10_lib3	LA11_lib3	LA12_lib3	LA13_lib3	LA14_lib3	LA15_lib3	LA16_lib3	LA17_lib3	LA18_lib3	LA19_lib3	LA2_lib3	LA20_lib3	LA3_lib3	LA4_lib3	LA5_lib3	LA6_lib3	LA7_lib3	LA8_lib3	LA9_lib3	LB1_lib3	LB10_lib3	LB11_lib3	LB12_lib3	LB2_lib3	LB3_lib3	LB4_lib3	LB5_lib3	LB6_lib3	LB7_lib3	LB8_lib3	LB9_lib3	LC_NC_lib3	LC1_lib3	LC10_lib3	LC11_lib3	LC12_lib3	LC2_lib3	LC3_lib3	LC4_lib3	LC5_lib3	LC6_lib3	LC7_lib3	LC8_lib3	LC9_lib3	NA_NC_lib3	NA1_lib3	NA10_lib3	NA11_lib3	NA12_lib3	NA13_lib3	NA14_lib3	NA15_lib3	NA16_lib3	NA17_lib3	NA18_lib3	NA19_lib3	NA2_lib3	NA20_lib3	NA3_lib3	NA4_lib3	NA5_lib3	NA6_lib3	NA7_lib3	NA8_lib3	NA9_lib3	NAC1_lib3	NAC10_lib3	NAC11_lib3	NAC12_lib3	NAC2_lib3	NAC3_lib3	NAC4_lib3	NAC5_lib3	NAC6_lib3	NAC7_lib3	NAC8_lib3	NAC9_lib3	NB_NC_lib3	NB1_lib3	NB10_lib3	NB11_lib3	NB12_lib3	NB2_lib3	NB3_lib3	NB4_lib3	NB5_lib3	NB6_lib3	NB7_lib3	NB8_lib3	NB9_lib3	NC_LA_lib3	NC_LB_lib3	NC_NC_lib3	NC_SB_lib3	NC_SC_lib3	NTC_lib3	PC_1_lib3	PC_2_lib3	SB1_lib3	SB10_lib3	SB11_lib3	SB12_lib3	SB2_lib3	SB3_lib3	SB4_lib3	SB5_lib3	SB6_lib3	SB7_lib3	SB8_lib3	SB9_lib3	SC1_lib3	SC10_lib3	SC11_lib3	SC12_lib3	SC2_lib3	SC3_lib3	SC4_lib3	SC5_lib3	SC6_lib3	SC7_lib3	SC8_lib3	SC9_lib3	Kingdom	Phylum	Class	Order	Family	Genus
ASV_42	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	7	1	1	4	5	2	5	4	1	37	3	1	2	0	1748	876	846	562	0	3	0	1	0	0	7	0	596	4917	5994	7416	3773	1998	719	3	74	48	0	2	11	491	1186	1689	4607	1102	781	3	1	0	1	8	12	187	1023	116	137	66	26	3	5	2	0	2	0	0	6	1	0	3	0	2	0	5	0	1	1	2	1	2	0	4	3	6	1	1	1	0	1	1	0	0	0	1	0	1	0	2	3	0	0	0	55	10	23	0	2	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	4	8	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	37	143	4	65	0	0	0	0	0	0	1	0	49	468	283	969	114	201	75	0	53	10	0	0	6	84	452	84	40	120	265	0	0	0	0	0	3	15	152	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea	Thermoplasmatota	Thermoplasmata			
ASV_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	2	0	1	1	3	7	0	0	2	0	1023	366	681	396	0	0	1	0	0	0	0	0	10	288	1073	1346	1137	269	689	0	1010	1888	0	0	0	31	1116	513	1717	1167	884	3	34	32	49	1	408	434	1219	486	1081	190	346	98	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	1	0	18	19	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	12	5	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	91	0	61	18	0	0	0	0	0	0	0	0	26	97	148	7	42	7	0	323	45	109	0	0	17	161	69	31	46	0	0	11	0	0	0	234	166	202	145	141	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	Archaea	Crenarchaeota	Nitrososphaeria			
ASV_108	0	0	300	124	399	1	0	0	0	0	0	0	0	1	0	84	1792	708	211	37	1264	0	0	1987	1611	48	1	32	296	994	80	591	95	1371	0	8	0	0	0	0	6	6	8	14	17	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	39	25	0	1	0	0	0	4	42	64	0	0	0	0	3	0	0	7	306	462	1380	265	9	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	100	63	76	0	16	978	966	538	772	277	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	14	0	0	0	0	0	0	1	10	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	21	13	0	40	0	0	39	0	6	0	0	22	18	2	19	5	6	0	0	34	0	0	0	2	48	4	16	0	29	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	23	161	30	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea	Thermoplasmatota	Thermoplasmata			
ASV_151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	43	16	13	0	0	26	0	2	189	210	2	773	1384	7373	1834	59	41	35	126	0	15	0	0	0	7	2	0	3	3	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	88	413	536	708	317	106	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	201	227	41	1	0	0	0	0	0	0	0	0	0	55	61	13	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	
ASV_259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	10	0	0	0	0	0	0	1	59	296	302	0	0	0	6	0	21	1	0	0	0	60	45	90	0	0	1	51	20	102	15	23	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	389	167	87	1	5	508	1281	333	1591	422	522	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	9	123	60	0	9	0	1	166	131	56	6	0	0	2	0	1	0	5	10	0	2	0	2	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	0	0	0	6	0	0	0	0	0	0	160	0	49	0	0	0	0	0	0	0	0	0	1	275	20	138	0	1	395	284	512	305	340	216	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	84	0	0	14	152	435	0	125	1	2	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	
ASV_273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1441	569	1321	510	0	1	0	0	0	0	0	0	1	1	9	39	997	544	759	1	523	589	0	0	1	0	1	25	991	372	748	3	1	5	0	0	0	1	2	6	36	101	45	63	5	3	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	54	53	25	0	0	0	0	0	0	0	0	0	0	6	1	5	44	4	0	98	25	23	0	0	3	0	2	17	10	0	0	0	0	0	0	0	0	1	0	5	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea	Crenarchaeota	Nitrososphaeria			
ASV_348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	2	1	0	1	2	0	0	15	107	32	18	0	11	0	0	0	0	0	0	4	3	67	0	86	6	2	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	639	596	479	53	407	102	41	0	1	0	0	0	4	79	1	0	1	0	0	0	0	495	0	13	14	0	576	0	1	14	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	42	63	1	0	0	0	0	0	0	0	0	0	34	61	4	23	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	150	9	0	18	821	308	444	164	91	79	53	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	37	1	0	0	0	0	0	374	0	67	0	109	468	581	162	0	12	0	0	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrososphaera
ASV_375	0	0	202	77	158	0	4	0	0	0	0	0	0	0	0	155	525	146	40	11	479	0	0	890	872	40	0	46	192	268	32	162	58	591	0	2	0	0	0	1	2	0	6	3	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	2	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	36	3	1	1	52	738	732	279	565	216	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	12	0	3	11	7	0	6	10	14	0	0	2	0	0	0	0	0	5	5	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea	Thermoplasmatota	Thermoplasmata			
ASV_383	3	0	1	0	4	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	4	17	1	0	0	0	1	1	2	0	12	0	2	0	0	106	1	0	0	312	549	106	174	1	14	8	3	0	31	0	0	26	18	521	14	2694	142	72	8	10	0	115	0	1	0	0	2	1	0	0	0	0	1	0	0	2	1	14	3	80	33	13	0	6	8	0	0	25	2	1	0	1	1	1	3	2	1	1	1	0	438	0	0	7	1	14	0	0	4	2	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	138	121	4	32	14	2	0	0	0	13	0	59	36	86	147	167	152	0	20	0	0	0	35	0	0	0	0	0	0	0	0	0	0	124	0	189	0	0	0	243	38	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	12	6	13	0	0	2	0	0	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	
ASV_418	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	168	675	0	0	0	0	0	3	711	315	0	0	210	242	166	0	0	0	19	281	429	25	0	0	0	355	29	25	0	0	0	0	0	4	1333	527	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	3	4	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	78	121	131	0	0	2	3	1	10	41	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	38	194	0	0	0	0	0	0	79	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	62	27	0	0	0	1	22	19	1	0	0	106	0	0	0	0	0	0	0	0	91	61	Archaea	Thermoplasmatota	Thermoplasmata			
