reference_tip,nearest_asv,distance_to_nearest_asv,phylum_panel,taxonomic_panel,Phylum_clean,Class_clean,primary_accession,accession_candidates,arb_context,accession,version,definition,source,organism,isolation_source,geo_loc_name,clone,title,pubmed,reference_keyword,reference_label_keyword
Unc04cwl,ASV_4336,0.02936,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EF503695,EF503695;AB930767,ARB_D02D0226 | Unc00g42 | AB930767 | last; | Bum0 | ENA; R | Dm_42 | bC42. | 1..1412 | 1-1412 | 9Hrep05728 | 77133 | %Ar@ | D302A | Unc04cwl | EF503695 | An0 | IENA; RDP; | as Y | FL.; ;  | SV2_L2_C10 | urpris | E (SV) | SV2_L2 | s; no | Drred | 1..900 | 1-900 | Ias y.; ; ,NA,EF503695.1,"Uncultured archaeon clone SV2_L2_C10 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"ambient rhizosphere soil in the
                     vicinity of the hot springs; no geothermal influence
                     inferred","USA: California, Surprise Valley (SV)",SV2_L2_C10,NA,NA,hot spring/thermal; root/rhizosphere; soil,hot spring/thermal; root/rhizosphere; soil (EF503695)
Unc04cr5,ASV_2018,0.0413,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EF503697,EF503697;F090906,"ENA; R | Acedo-Felix | B3)0 | 1..1517 | 1-1517 | C5-0 | 12656154 | Aced | 1582 | ATCC 393T | d-cured | Cudy@ | F090906 | ffwW | Unc04cr5 | EF503697 | An0 | IENA; RDP; | as Y | FL.; ;  | EV_L2_F12 | >fornia, Eagl | E (EV) | EV_L2 | s; no | Drred | 1..900 | 1-900 | Ias y.; ; ",NA,EF503697.1,"Uncultured archaeon clone EV_L2_F12 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"ambient rhizosphere soil in the
                     vicinity of the hot springs; no geothermal influence
                     inferred","USA: California, Eagleville (EV)",EV_L2_F12,NA,NA,hot spring/thermal; root/rhizosphere; soil,hot spring/thermal; root/rhizosphere; soil (EF503697)
Unc04bth,ASV_5253,0.02672,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,JX196229,JX196229;KF098490;JX196222,Unc04b29 | JX196222 | An0 | x#@@ | IENA; RDP; | China | IMCUGW13A13 | 1..914 | 1-914 | ygccr | 115547 | E43F6D | `Yv] | 9m'.yt` | Unc04bth | JX196229 | An0 | x#@@ | IENA; RDP; | China | IMCUGW13A14 | 1..911 | 1-911 | ygccr | 115547 | DFFFB | cSmc | Unc02o4w | KF098490,NA,JX196229.1,"Uncultured archaeon clone IMCUGW13A14 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"groundwater samples from Inner
                     Mongolia",China,IMCUGW13A14,NA,NA,environmental,environmental (JX196229)
Unc04c1f,ASV_5253,0.01574,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,AY923103,AY923103,"DRV-B035 | fornia, | DRV-B035 | 1B6)0 | 1..1251 | 1-1251 | EM.72.2.1708 | Fusco | ena, | 77133 | Cter | iD5AE1 | ......C | GGGG | Unc04c1f | AY923103 | An0 | IENA; RDP; | Fusc | DRV-SSA016 | fornia, | DRV-SSA016 | soil | 1B6)0 | 1..908 | 1-908 | EM.72.2.1708 | Fusco | ena,",NA,AY923103.2,"Uncultured archaeon clone DRV-SSA016 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,soil,"USA: California, Whipple Mountains",DRV-SSA016,NA,NA,soil,soil (AY923103)
Unc04duq,ASV_5253,0.01499,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,FJ784245,FJ784245;LS483311,"1-1502 | GT RoM-1 | thal, S | 1396 | DA78B | ---G | F3C41224 | LS483311 | dBs; | ) @@ | 562162..563701 | NCTC6 | D; ;  | 1280 | Unc04duq | FJ784245 | An0 | /A2@ | ENA; R | strad | %B;  | TX1D07 | TX1D07 | 1..1439 | 1-1439 | 115547 | ined | E9C261 | )jMR",NA,FJ784245.1,"Uncultured archaeon clone TX1D07 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,alkaline soil,,TX1D07,NA,NA,soil; alkaline,soil; alkaline (FJ784245)
Unc04acr,ASV_5253,0.0011,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KC505282,KC505282;FO905143,FO905143 | iB;  | _DB3.5 | e b3 | 0052 | Fungi | B4)0 | 878..2202 | 1-2202 | E rRNA | ncage | 225338 | ~As@ | xE36AAC | Unc04acr | KC505282 | An0 | IENA; RDP; | AR6-90 | W.G. Hu | AR6-90 | 1..916 | 1-916 | 115547 | permaforst | D56DD | KU-( | a%UH | Unc04aza,NA,KC505282.1,"Uncultured archaeon clone AR6-90 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"permafrost soil from Kunlun Mountains
                     Pass, Mt. Kunlun",China: Qinghai-Tibet Plateau,AR6-90,NA,NA,soil,soil (KC505282)
Unc0c92l,ASV_5253,0.0055,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,HQ739006,HQ739006;E84992,d SAR20 | d SAR202 | ENA; R | #B;  | OS2MR54 | SAR202 | 4G75.82 W0 | 1..1435 | 1-1435 | CUSA | 648178 | astal/o | flexi | E1BFFB | Unc0c92l | HQ739006 | An0 | IENA; RDP; | )DA-63 | TP-SL-A-63 | 1..915 | 1-915 | 115547 | E84992 | G8D29491 | A?Hanhattan |  B970 | A?Hanhattan | A?Hanhattan,NA,HQ739006.1,"Uncultured archaeon clone TP-SL-A-63 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"soil samples from permafrost along the
                     Shule River",China: Tibetan Plateau,TP-SL-A-63,NA,NA,soil; freshwater,soil; freshwater (HQ739006)
Unc03q39,ASV_5253,0.01818,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,LN574632,LN574632;E93651;LT906467;E82568,LT906467 | Coryneb | Fmitans | Fmitans | Fmitans | Fmitans0 | 1996 | jB15 | CTC13015  | 773261..774767 | 156978 | Coryn | E82568 | X/*L | Unc03q39 | LN574632 | Bum0 | ENA; R | SIGW978 | SIGW978 | Cica | F9.73 W0 | 1..1308 | 1-1308 | nB;  | DUSA. | 77133 | E93651 | GV2Dip70,NA,LN574632.1,"Uncultured bacterium partial 16S rRNA gene, clone             SIGW978_N9D4_16S_A.",uncultured bacterium,uncultured bacterium             Bacteria; environmental samples.,refuse dump Nest 9 layer 4,"Panama:Gamboa, Pipeline Road",SIGW978_N9D4_16S_A,NA,NA,environmental,environmental (LN574632)
Unc04btc,ASV_348,0.02343,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,JQ978498,JQ978498,"Viss | VWS100 | Lake Lucerne, Chrueztricht | Cumn | 1..913 | 1-913 | 22984895 | Viss | y, N | 708 P | 651141 | >#@@ | ndidatus  | ARB_804F2F5C | Unc04btc | JQ978498 | An0 | IENA; RDP; | SLA-AM1-11 | China | SLA-AM | 1..911 | 1-911 | 115547 | 7I@@ | EB7023 | ?V|T | .X* | ~x$\",NA,JQ978498.1,"Uncultured archaeon clone SLA-AM1-11 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,permafrost soil,China,SLA-AM1-11,NA,NA,soil; freshwater,soil; freshwater (JQ978498)
UncCr951,ASV_348,0.02889,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,GQ249646,GQ249646;E77350,ronment | Bte0 | IENA; RDP; | nzalez | A02-arc | A02-arc | 1..912 | 1-912 | de la | ESpain | 29281 | rR@@ | {E77350 | S(|l | UncCr951 | GQ249646 | ronment | Bte0 | IENA; RDP; | nzalez | B04-arc | B04-arc | 1..912 | 1-912 | de la | ESpain | 29281 | rR@@ | ARB_1449AB96,NA,GQ249646.1,"Uncultured crenarchaeote clone B04-arc 16S ribosomal RNA gene,             partial sequence.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,marine sediment: 6-8 cm layer,Spain: Bay of Cadiz,B04-arc,NA,NA,marine; sediment,marine; sediment (GQ249646)
